time,open,high,low,close,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Volume
1756674000,198.408,198.408,198.296,198.404,,,,,
1756674900,198.404,198.42399999999998,198.39999999999998,198.423,,,,,
1756675800,198.423,198.44199999999998,198.40599999999998,198.43099999999998,,,,,
1756676700,198.43099999999998,198.469,198.387,198.447,,,,,
1756677600,198.447,198.67499999999998,198.446,198.61599999999999,,,,,
1756678500,198.61599999999999,198.634,198.596,198.619,,,,,
1756679400,198.619,198.655,198.618,198.63299999999998,,,,,
1756680300,198.63299999999998,198.70399999999998,198.628,198.665,,,,,
1756681200,198.665,198.71699999999998,198.618,198.69,,,,,
1756682100,198.69,198.739,198.66899999999998,198.727,,,,,
1756683000,198.727,198.738,198.685,198.688,,,,,
1756683900,198.688,198.73,198.613,198.655,,,,,
1756684800,198.655,198.88899999999998,198.652,198.849,,,,,
1756685700,198.849,198.921,198.833,198.873,,,,,
1756686600,198.873,199.009,198.864,198.959,,,,,
1756687500,198.959,199.06,198.956,199.028,,,,,
1756688400,199.028,199.041,198.963,198.981,,,,,
1756689300,198.981,199.071,198.953,199.057,,,,,
1756690200,199.057,199.069,198.963,199.03799999999998,,,,,
1756691100,199.03799999999998,199.066,198.97799999999998,199.015,,,,,
1756692000,199.015,199.045,198.911,198.928,,,,,
1756692900,198.928,198.929,198.815,198.83499999999998,,,,,
1756693800,198.83499999999998,198.873,198.796,198.814,,,,,
1756694700,198.814,198.831,198.66299999999998,198.7,,,,,
1756695600,198.7,198.778,198.64499999999998,198.75199999999998,,,,,
1756696500,198.75199999999998,198.762,198.685,198.7,,,,,
1756697400,198.7,198.786,198.63799999999998,198.648,,,,,
1756698300,198.648,198.677,198.623,198.65099999999998,,,,,
1756699200,198.65099999999998,198.682,198.625,198.646,,,,,
1756700100,198.646,198.712,198.624,198.68599999999998,,,,,
1756701000,198.68599999999998,198.762,198.67,198.71599999999998,,,,,
1756701900,198.71599999999998,198.808,198.706,198.78099999999998,,,,,
1756702800,198.78099999999998,198.808,198.73399999999998,198.783,,,,,
1756703700,198.783,198.79999999999998,198.744,198.783,,,,,
1756704600,198.783,198.784,198.725,198.76399999999998,,,,,
1756705500,198.76399999999998,198.771,198.66,198.69799999999998,,,,,
1756706400,198.69799999999998,198.738,198.647,198.695,,,,,
1756707300,198.695,198.733,198.643,198.70399999999998,,,,,
1756708200,198.70399999999998,198.78099999999998,198.691,198.78,,,,,
1756709100,198.78,198.843,198.74699999999999,198.82899999999998,,,,,
1756710000,198.82899999999998,198.938,198.81099999999998,198.88899999999998,,,,,
1756710900,198.88899999999998,198.98499999999999,198.849,198.983,,,,,
1756711800,198.983,199.01899999999998,198.891,198.989,,,,,
1756712700,198.989,199.053,198.965,198.98399999999998,,,,,
1756713600,198.98399999999998,199.102,198.94899999999998,199.088,,,,,
1756714500,199.088,199.10899999999998,198.98399999999998,199.015,,,,,
1756715400,199.015,199.066,198.92,198.999,,,,,
1756716300,198.999,199.015,198.917,198.94899999999998,,,,,
1756717200,198.94899999999998,199.009,198.896,198.946,,,,,
1756718100,198.946,198.946,198.86499999999998,198.91899999999998,,,,,
