time,open,high,low,close,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Volume
1759266000,198.852,198.852,198.7365,198.7765,,,,,
1759266900,198.7765,198.8135,198.7625,198.806,,,,,
1759267800,198.806,198.8305,198.7785,198.8095,,,,,
1759268700,198.8095,198.832,198.7705,198.825,,,,,
1759269600,198.825,198.884,198.8165,198.868,,,,,
1759270500,198.868,198.879,198.841,198.879,,,,,
1759271400,198.879,198.8965,198.853,198.8635,,,,,
1759272300,198.8635,198.8715,198.8285,198.852,,,,,
1759273200,198.852,198.8735,198.799,198.819,,,,,
1759274100,198.819,198.8895,198.8115,198.882,,,,,
1759275000,198.882,198.8915,198.8505,198.886,,,,,
1759275900,198.886,198.9955,198.8695,198.9885,,,,,
1759276800,198.9885,199.073,198.955,198.9655,,,,,
1759277700,198.9655,199.0405,198.9645,199.0225,,,,,
1759278600,199.0225,199.1865,199.0215,199.1755,85.30973451327456,,,,
1759279500,199.1755,199.221,199.0445,199.0705,71.08338060124916,,,,
1759280400,199.0705,199.108,198.9955,199.0185,65.27763308677879,,,,
1759281300,199.0185,199.0305,198.9375,198.9755,60.85162648695142,,,,
1759282200,198.9755,198.9915,198.8685,198.8855,52.78459762352076,,,,
1759283100,198.8855,198.9065,198.861,198.88,52.32805547331159,,,,
1759284000,198.88,198.9125,198.8195,198.842,49.16412063358373,,,,
1759284900,198.842,198.876,198.7935,198.8715,51.61019635369189,,,,
1759285800,198.8715,198.8785,198.8055,198.8745,51.863857971736444,,,,
1759286700,198.8745,198.8945,198.8185,198.8215,47.16039597142538,,,,
1759287600,198.8215,198.835,198.7545,198.7775,43.62340559828015,,,,
1759288500,198.7775,198.8515,198.7595,198.833,48.83591266180273,,,,
1759289400,198.833,198.875,198.833,198.8395,49.42568296762534,,,,
1759290300,198.8395,198.8645,198.8125,198.83,48.5449252852085,55.561680373460035,,,
1759291200,198.83,198.926,198.8275,198.921,56.534923458475525,53.50633672668867,,,
1759292100,198.921,198.922,198.8325,198.864,51.17459918241551,52.0842809110577,,,
1759293000,198.864,198.864,198.755,198.7575,42.975682504779044,50.49128444091486,,,
1759293900,198.7575,198.7835,198.639,198.6565,36.93248243617306,48.78277415157355,,,
1759294800,198.6565,198.749,198.5845,198.7065,41.330810244512726,47.9646464816444,,,
1759295700,198.7065,198.7095,198.544,198.57,34.29841544103844,46.67681505076775,,,
1759296600,198.57,198.6365,198.5525,198.5995,36.801137573114765,45.79374483216282,,,
1759297500,198.5995,198.6305,198.5035,198.508,32.64714462453041,44.439241137222716,,,
1759298400,198.508,198.512,198.3825,198.3925,28.30405540856809,42.756398096996406,,,
1759299300,198.3925,198.46,198.324,198.43,31.49072394797733,41.637135809607265,,,
1759300200,198.43,198.4875,198.3715,198.373,29.354965433169227,40.61796151209934,,,
1759301100,198.373,198.387,198.244,198.267,25.84458092726709,38.975723531061085,,,
1759302000,198.267,198.272,198.122,198.172,23.170299066981144,37.100338966729346,,,
1759302900,198.172,198.1875,198.0355,198.0835,20.991189432914993,35.13221497727981,,,
1759303800,198.0835,198.234,198.0835,198.1265,24.696889174257464,32.85806967126423,,,
1759304700,198.1265,198.2,198.0885,198.137,25.61435388776313,31.032337864503347,,,
1759305600,198.137,198.1795,198.052,198.084,24.023315524215533,29.67859736589167,,,
