time,open,high,low,close,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Volume
1767564000,211.071,211.071,210.8955,210.899,,,,,
1767564300,210.899,210.9835,210.899,210.9835,,,,,
1767564600,210.9835,211.0365,210.9835,211.02,,,,,
1767564900,211.02,211.0285,210.966,210.9895,,,,,
1767565200,210.9895,211.049,210.9765,211.0155,,,,,
1767565500,211.0155,211.023,210.992,210.9985,,,,,
1767565800,210.9985,211.0225,210.9685,210.9755,,,,,
1767566100,210.9755,210.9755,210.931,210.932,,,,,
1767566400,210.932,210.94,210.9255,210.9345,,,,,
1767566700,210.9345,210.938,210.888,210.931,,,,,
1767567000,210.931,210.9895,210.924,210.9865,,,,,
1767567300,210.9865,210.987,210.8455,210.8495,,,,,
1767567600,210.8495,210.9995,210.8265,210.841,,,,,
1767567900,210.841,210.944,210.8025,210.9215,,,,,
1767568200,210.9215,210.93,210.896,210.908,50.800711743770876,,,,
1767568500,210.908,210.934,210.8915,210.9325,53.00692901032798,,,,
1767568800,210.9325,210.9695,210.9295,210.938,53.510918768341284,,,,
1767569100,210.938,210.9625,210.914,210.953,54.930574876377094,,,,
1767569400,210.953,210.9885,210.911,210.975,57.00440081804054,,,,
1767569700,210.975,211.0185,210.957,210.957,54.78327685362249,,,,
1767570000,210.957,210.975,210.8905,210.9645,55.56025607059277,,,,
1767570300,210.9645,211.0115,210.9285,210.9675,55.88678652049679,,,,
1767570600,210.9675,211.0155,210.944,210.965,55.52067758060437,,,,
1767570900,210.965,210.994,210.9545,210.975,56.741403852840634,,,,
1767571200,210.975,211.1745,210.923,211.1555,71.7906579534675,,,,
1767571500,211.1555,211.2045,211.142,211.1955,73.95319925203395,,,,
1767571800,211.1955,211.244,211.172,211.221,75.25551059269607,,,,
1767572100,211.221,211.267,211.2175,211.265,77.35905712322291,60.43602578688824,,,
1767572400,211.265,211.274,211.227,211.2665,77.42950015987431,62.33808210232419,,,
1767572700,211.2665,211.267,211.222,211.245,73.8812854850484,63.829107564804225,,,
1767573000,211.245,211.2855,211.2325,211.2805,75.84921383054726,65.4247000692475,,,
1767573300,211.2805,211.294,211.244,211.28,75.76262958894567,66.91270397728812,,,
1767573600,211.28,211.294,211.252,211.279,75.57681020720862,68.23930464794299,,,
1767573900,211.279,211.331,211.2775,211.312,77.53494291039313,69.86442365199802,,,
1767574200,211.312,211.3375,211.2375,211.323,78.16341765855536,71.47893519399535,,,
1767574500,211.323,211.323,211.2305,211.2605,66.73904616244101,72.25409659699137,,,
1767574800,211.2605,211.2805,211.212,211.2345,62.63755670602935,72.76244510595029,,,
1767575100,211.2345,211.2845,211.2065,211.227,61.46413007031896,73.09978269291302,,,
1767575400,211.227,211.231,211.159,211.175,53.921697252913454,71.82342835715917,,,
1767575700,211.175,211.178,211.118,211.1255,47.8963920551298,69.9622278430946,,,
1767576000,211.1255,211.223,211.123,211.2105,56.819251852035606,68.6453522187617,,,
1767576300,211.2105,211.2695,211.201,211.2685,61.64586227467492,67.52298115815114,,,
1767576600,211.2685,211.2725,211.2225,211.2415,58.37473487482203,66.16192649493313,,,
1767576900,211.2415,211.2415,211.204,211.212,54.94422618592557,64.80927940213863,,,
1767577200,211.212,211.2225,211.083,211.1085,44.960968569406056,62.60297616919998,,,
1767577500,211.1085,211.1125,211.0295,211.065,41.544355242315554,60.15881371586926,,,
1767577800,211.065,211.122,211.011,211.115,46.570200865371696,58.08691304859519,,,
1767578100,211.115,211.1185,211.036,211.036,40.62677549431168,55.45061537601795,,,
1767578400,211.036,211.118,211.032,211.08,44.848557886446244,53.070982535153014,,,
1767578700,211.08,211.08,211.025,211.026,40.995811167312894,51.23218003550101,,,
1767579000,211.026,211.03,210.967,210.973,37.5832308524754,49.44258533167573,,,
1767579300,210.973,211.0095,210.918,211.0075,41.024681913089246,47.98262474901646,,,
1767579600,211.0075,211.0745,211.0045,211.063,46.16687603542454,47.428708947767255,,,
1767579900,211.063,211.088,211.0305,211.0715,46.93007413898576,47.35968623947125,,,
1767580200,211.0715,211.115,211.0715,211.1,49.51450510042626,46.8379186143563,,,
1767580500,211.1,211.121,211.057,211.0935,48.9292593403304,45.92958983333169,,,
1767580800,211.0935,211.0955,210.997,211.027,43.291558505423176,44.85222009266034,,,
1767581100,211.027,211.0385,210.997,211.017,42.498563103373385,43.963244158192325,,,
1767581400,211.017,211.051,211.006,211.04,44.99423878387256,43.96562060208279,,,
1767581700,211.04,211.0755,211.025,211.0695,48.10531866554952,44.4342608465995,,,
1767582000,211.0695,211.1585,211.0595,211.1335,54.162450380661575,44.97656438340592,,,
1767582300,211.1335,211.1765,211.1025,211.1055,51.33915926613525,45.7417346528219,,,
1767582600,211.1055,211.1105,211.031,211.032,44.74557657813692,45.734378845085516,,,
1767582900,211.032,211.0545,210.984,210.984,41.03872540323766,45.73744414765157,,,
1767583200,210.984,211.0055,210.942,210.945,38.26499197224869,45.78614137049252,,,
1767583500,210.945,210.95,210.913,210.941,37.9814466888043,45.56876742590073,,,
1767583800,210.941,210.942,210.8805,210.8805,33.89087801634662,44.69191042453802,,,
1767584100,210.8805,210.9375,210.869,210.896,35.798611118763986,43.89680592309361,,,
1767584400,210.896,210.918,210.8705,210.89,35.37307805106552,42.886703990996416,,,
1767584700,210.89,210.928,210.888,210.918,39.016195048760714,42.178627970170005,,,
1767585000,210.918,210.9325,210.907,210.9165,38.88971781747301,41.864210778173565,,,
1767585300,210.9165,210.957,210.909,210.9445,42.628378222350044,41.8734832866719,,,
1767585600,210.9445,210.989,210.9435,210.984,47.50730548263764,42.05298805086941,,,
1767585900,210.984,211.0175,210.9805,211.0105,50.545835607704454,42.22731068959475,,,
1767586200,211.0105,211.041,210.987,211.031,52.82096651521584,42.1314904134915,,,
1767586500,211.031,211.0445,211.02,211.032,52.93471223489949,42.24545848268894,,,
1767586800,211.032,211.0625,211.0275,211.047,54.69900129915762,42.95641739133327,,,
1767587100,211.047,211.056,211.0285,211.053,55.41888872597702,43.98357191438608,,,
1767587400,211.053,211.0685,211.04,211.053,55.41888872597702,45.20885025393811,,,
1767587700,211.053,211.065,211.039,211.055,55.69109363606956,46.473825035885625,,,
1767588000,211.055,211.1045,211.053,211.103,61.730494304528015,48.46236905647,,,
1767588300,211.103,211.1375,211.0965,211.135,65.14166087437135,50.55830118187053,,,
1767588600,211.135,211.1585,211.128,211.1575,67.34564473842575,52.8420559452534,,,
1767588900,211.1575,211.172,211.1425,211.1605,67.63943757402633,54.886573268486664,,,
1767589200,211.1605,211.175,211.1155,211.1515,65.72887090182124,56.8036556316544,,,
1767589500,211.1515,211.159,211.081,211.095,55.189609978066834,57.700886471348454,,,
1767589800,211.095,211.096,211.0725,211.0855,53.63242132715492,58.13839474595683,,,
1767590100,211.0855,211.0985,211.064,211.0975,55.3463136999784,58.48128603826211,,,
1767590400,211.0975,211.105,211.0495,211.0505,47.88121452534534,58.12844661041422,,,
1767590700,211.0505,211.0945,211.0475,211.0945,54.12012317373926,58.21311882033134,,,
1767591000,211.0945,211.0955,211.0405,211.0425,46.96490131209197,57.66068310696952,,,
1767591300,211.0425,211.068,211.0055,211.042,46.90069245686556,57.0522405163187,,,
1767591600,211.042,211.056,211.012,211.03,45.29997243999363,56.3294607816056,,,
1767591900,211.03,211.0755,211.019,211.071,51.40284449055594,56.023157271211765,,,
1767592200,211.071,211.1125,211.061,211.064,50.369574378170704,55.21166299075768,,,
1767592500,211.064,211.0815,211.044,211.0655,50.598736415713404,54.17288267228211,,,
1767592800,211.0655,211.131,211.0505,211.087,53.88546889626587,53.21144154069926,,,
1767593100,211.087,211.09,211.003,211.012,43.11048370816262,51.459373407423286,,,
1767593400,211.012,211.0385,210.968,211.0305,45.97991247175684,50.04873351956154,,,
1767593700,211.0305,211.0655,211.0025,211.0625,50.61952197517838,49.72229866221237,,,
1767594000,211.0625,211.064,211.019,211.021,45.197922610178466,49.11983446814262,,,
1767594300,211.021,211.0335,210.9985,210.999,42.59349705498454,48.2089189935002,,,
1767594600,210.999,211.0095,210.9655,210.976,39.99855527994306,47.645871904542894,,,
1767594900,210.976,211.0065,210.926,211.0045,44.50985696642561,46.959424318306205,,,
1767595200,211.0045,211.0085,210.977,210.995,43.340105610487846,46.70051033962019,,,
1767595500,210.995,211.0605,210.99,211.049,51.19213641433939,47.00704205086833,,,
1767595800,211.049,211.07,210.9825,210.992,44.22520038838067,46.93027261861026,,,
1767596100,210.992,211.009,210.9495,210.9825,43.170665992538844,46.3422598687519,,,
1767596400,210.9825,210.983,210.914,210.918,36.76145680507019,45.370251470673296,,,
1767596700,210.918,210.9415,210.8715,210.8785,33.483050472862914,44.147702474755405,,,
1767597000,210.8785,210.9095,210.8465,210.847,31.101042786159127,42.52024346689063,,,
1767597300,210.847,210.924,210.8455,210.916,41.002028642475224,42.36963953362725,,,
1767597600,210.916,210.9355,210.903,210.909,40.368247490408606,41.96880632067381,,,
1767597900,210.909,210.912,210.8575,210.8955,39.1125906426862,41.14688265406722,,,
1767598200,210.8955,210.903,210.805,210.82,32.94137570833156,40.27141501822102,,,
1767598500,210.82,210.847,210.7915,210.8415,36.036394006508225,39.803050514758425,,,
1767598800,210.8415,210.875,210.8195,210.8475,36.91149125251825,39.58254594137094,,,
